name,type,start_time,duration,"ack","address","read","data"
"I2C","start",2026-05-06T07:19:44.440004700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:44.440079700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:19:44.440979700+00:00,0.000851,true,,,0x13
"I2C","data",2026-05-06T07:19:44.441880700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:19:45.440425700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:45.440500700+00:00,0.000851,true,0x4B,true,
"I2C","data",2026-05-06T07:19:45.441401700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:19:45.442301700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:19:46.440847700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:46.440922700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:19:46.441822700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:19:46.442722700+00:00,0.000851,false,,,0xFF
"I2C","start",2026-05-06T07:19:47.441268700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:47.441343700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:19:47.442243700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:19:47.443144700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:19:48.441689700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:48.441764700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:19:48.442664700+00:00,0.000851,true,,,0x13
"I2C","data",2026-05-06T07:19:48.443565700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:19:49.442110700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:49.442185700+00:00,0.000851,true,0x4B,true,
"I2C","data",2026-05-06T07:19:49.443086700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:19:49.443986700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:19:50.442532700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:50.442607700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:19:50.443507700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:19:50.444407700+00:00,0.000851,false,,,0xFF
"I2C","start",2026-05-06T07:19:51.442953700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:51.443028700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:19:51.443928700+00:00,0.000851,true,,,0x13
"I2C","data",2026-05-06T07:19:51.444829700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:19:52.443374700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:52.443449700+00:00,0.000851,true,0x4B,true,
"I2C","data",2026-05-06T07:19:52.444350700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:19:52.445250700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:19:53.443796700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:53.443871700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:19:53.444771700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:19:53.445671700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:19:54.444217700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:54.444292700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:19:54.445192700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:19:54.446092700+00:00,0.000851,false,,,0xFF
"I2C","start",2026-05-06T07:19:55.444638700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:55.444713700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:19:55.445613700+00:00,0.000851,true,,,0x13
"I2C","data",2026-05-06T07:19:55.446514700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:19:56.445059700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:56.445134700+00:00,0.000851,true,0x4B,true,
"I2C","data",2026-05-06T07:19:56.446035700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:19:56.446935700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:19:57.445481700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:57.445556700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:19:57.446456700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:19:57.447356700+00:00,0.000851,false,,,0xFF
"I2C","start",2026-05-06T07:19:58.445902700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:58.445977700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:19:58.446877700+00:00,0.000851,true,,,0x13
"I2C","data",2026-05-06T07:19:58.447778700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:19:59.446323700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:19:59.446398700+00:00,0.000851,true,0x4B,true,
"I2C","data",2026-05-06T07:19:59.447299700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:19:59.448199700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:20:00.446745700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:20:00.446820700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:20:00.447720700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:20:00.448620700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:20:01.447166700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:20:01.447241700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:20:01.448141700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:20:01.449041700+00:00,0.000851,false,,,0xFF
"I2C","start",2026-05-06T07:20:02.447587700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:20:02.447662700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:20:02.448563700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:20:02.449463700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:20:03.448008700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:20:03.448084700+00:00,0.00085,true,0x4B,true,
"I2C","data",2026-05-06T07:20:03.448984700+00:00,0.00085,true,,,0x13
"I2C","data",2026-05-06T07:20:03.449884700+00:00,0.00085,false,,,0xFF
"I2C","start",2026-05-06T07:20:04.448430700+00:00,0.000001,,,,
"I2C","address",2026-05-06T07:20:04.448505700+00:00,0.00085,true,0x4B,true,
