name,type,start_time,duration,"ack","address","read","data"
"I2C","start",2026-05-06T07:15:57.415082675+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:15:57.415157717+00:00,0.00085025,true,0x4B,true,
"I2C","data",2026-05-06T07:15:57.416058008+00:00,0.00085025,true,,,0x11
"I2C","data",2026-05-06T07:15:57.416958258+00:00,0.000850292,false,,,0xFF
"I2C","start",2026-05-06T07:15:58.415503425+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:15:58.415578425+00:00,0.000850292,true,0x4B,true,
"I2C","data",2026-05-06T07:15:58.416478717+00:00,0.00085025,true,,,0x11
"I2C","data",2026-05-06T07:15:58.417379008+00:00,0.00085025,false,,,0xFF
"I2C","start",2026-05-06T07:15:59.415924133+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:15:59.415999133+00:00,0.000850292,true,0x4B,true,
"I2C","data",2026-05-06T07:15:59.416899425+00:00,0.000850292,true,,,0x11
"I2C","data",2026-05-06T07:15:59.417799717+00:00,0.000850292,false,,,0xFF
"I2C","start",2026-05-06T07:16:00.416344842+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:16:00.416419883+00:00,0.00085025,true,0x4B,true,
"I2C","data",2026-05-06T07:16:00.417320175+00:00,0.00085025,true,,,0x11
"I2C","data",2026-05-06T07:16:00.418220467+00:00,0.00085025,false,,,0xFF
"I2C","start",2026-05-06T07:16:01.416765592+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:16:01.416840592+00:00,0.000850292,true,0x4B,true,
"I2C","data",2026-05-06T07:16:01.417740883+00:00,0.000850292,true,,,0x11
"I2C","data",2026-05-06T07:16:01.418641175+00:00,0.000850292,false,,,0xFF
"I2C","start",2026-05-06T07:16:02.417186300+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:16:02.417261342+00:00,0.00085025,true,0x4B,true,
"I2C","data",2026-05-06T07:16:02.418161633+00:00,0.00085025,true,,,0x11
"I2C","data",2026-05-06T07:16:02.419061883+00:00,0.000850292,false,,,0xFF
"I2C","start",2026-05-06T07:16:03.417607050+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:16:03.417682050+00:00,0.000850292,true,0x4B,true,
"I2C","data",2026-05-06T07:16:03.418582342+00:00,0.000850292,true,,,0x11
"I2C","data",2026-05-06T07:16:03.419482633+00:00,0.00085025,false,,,0xFF
"I2C","start",2026-05-06T07:16:04.418027758+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:16:04.418102800+00:00,0.00085025,true,0x4B,true,
"I2C","data",2026-05-06T07:16:04.419003092+00:00,0.00085025,true,,,0x11
"I2C","data",2026-05-06T07:16:04.419903383+00:00,0.00085025,false,,,0xFF
"I2C","start",2026-05-06T07:16:05.418448508+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:16:05.418523508+00:00,0.000850292,true,0x4B,true,
"I2C","data",2026-05-06T07:16:05.419423800+00:00,0.000850292,true,,,0x11
"I2C","data",2026-05-06T07:16:05.420324092+00:00,0.000850292,false,,,0xFF
"I2C","start",2026-05-06T07:16:06.418869217+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:16:06.418944258+00:00,0.00085025,true,0x4B,true,
"I2C","data",2026-05-06T07:16:06.419844550+00:00,0.00085025,true,,,0x11
"I2C","data",2026-05-06T07:16:06.420744842+00:00,0.00085025,false,,,0xFF
"I2C","start",2026-05-06T07:16:07.419289967+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:16:07.419365008+00:00,0.00085025,true,0x4B,true,
"I2C","data",2026-05-06T07:16:07.420265300+00:00,0.00085025,true,,,0x11
"I2C","data",2026-05-06T07:16:07.421165550+00:00,0.000850292,false,,,0xFF
"I2C","start",2026-05-06T07:16:08.419710717+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:16:08.419785717+00:00,0.000850292,true,0x4B,true,
"I2C","data",2026-05-06T07:16:08.420686008+00:00,0.000850292,true,,,0x11
"I2C","data",2026-05-06T07:16:08.421586300+00:00,0.000850292,false,,,0xFF
"I2C","start",2026-05-06T07:16:09.420131467+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:16:09.420206467+00:00,0.000850292,true,0x4B,true,
"I2C","data",2026-05-06T07:16:09.421106758+00:00,0.000850292,true,,,0x11
"I2C","data",2026-05-06T07:16:09.422007050+00:00,0.000850292,false,,,0xFF
"I2C","start",2026-05-06T07:16:10.420552217+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:16:10.420627217+00:00,0.000850292,true,0x4B,true,
"I2C","data",2026-05-06T07:16:10.421527508+00:00,0.000850292,true,,,0x11
"I2C","data",2026-05-06T07:16:10.422427800+00:00,0.000850292,false,,,0xFF
"I2C","start",2026-05-06T07:16:11.420972967+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:16:11.421047967+00:00,0.000850292,true,0x4B,true,
"I2C","data",2026-05-06T07:16:11.421948258+00:00,0.000850292,true,,,0x11
"I2C","data",2026-05-06T07:16:11.422848550+00:00,0.00085025,false,,,0xFF
