name,type,start_time,duration,"ack","address","read","data"
"I2C","start",2026-05-06T07:00:59.538184525+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:00:59.538259525+00:00,0.000850292,true,0x4B,true,
"I2C","data",2026-05-06T07:00:59.539159817+00:00,0.000850292,true,,,0x10
"I2C","data",2026-05-06T07:00:59.540060108+00:00,0.000850292,false,,,0x00
"I2C","start",2026-05-06T07:01:00.538605150+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:01:00.538680192+00:00,0.00085025,true,0x4B,true,
"I2C","data",2026-05-06T07:01:00.539580483+00:00,0.00085025,true,,,0x10
"I2C","data",2026-05-06T07:01:00.540480733+00:00,0.000850292,false,,,0x00
"I2C","start",2026-05-06T07:01:01.539025775+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:01:01.539100817+00:00,0.00085025,true,0x4B,true,
"I2C","data",2026-05-06T07:01:01.540001108+00:00,0.00085025,true,,,0x10
"I2C","data",2026-05-06T07:01:01.540901400+00:00,0.00085025,false,,,0x00
"I2C","start",2026-05-06T07:01:02.539446442+00:00,0.000000042,,,,
"I2C","address",2026-05-06T07:01:02.539521442+00:00,0.000850292,true,0x4B,true,
"I2C","data",2026-05-06T07:01:02.540421733+00:00,0.00085025,true,,,0x0F
"I2C","data",2026-05-06T07:01:02.541322025+00:00,0.00085025,false,,,0xFF
